call_id,customer_id,phone_number,tower_id,call_type,call_duration_seconds,data_usage_mb,signal_strength_dbm,call_timestamp,call_success,revenue_naira,network_type,roaming,phone_valid,signal_valid,call_hour,day_of_week,call_month,customer_segment,signal_quality
86634543-444c-4f38-aa1d-70df574593fa,CU000151,81695410640,INVALID_TW9116,Sms,2532.0,4666.74,-85.0,2024-04-30 04:30:43,True,842.74,4G,True,81695410640,True,4,Tuesday,April,High,Fair
fe36e9b9-f944-4d9a-83b2-a1796fc5074c,CU000307,70279999420,TW0040,Data,0.0,3281.08,-74.0,2024-04-08 10:37:21,True,126.07,5G,False,70279999420,True,10,Monday,April,Low,Good
534acb40-196b-469b-8b20-dbbe23a6e898,CU001104,70117663560,TW0128,Voice,5506.0,3967.93,-75.0,2024-05-04 16:11:44,False,400.31,5G,False,70117663560,True,16,Saturday,May,Medium,Good
04b2ab83-5325-4dd0-9a46-6d767439f5a2,CU000869,90599232010,UNKNOWN,Voice,4610.0,4734.73,-113.0,2024-05-24 14:01:58,False,956.19,3G,True,90599232010,True,14,Friday,May,High,Poor
7775e1be-3638-4d37-8ae9-e91fd5a966e5,CU000518,80911403190,TW0150,Sms,271.0,2995.66,-106.0,2024-04-07 20:54:53,False,740.63,3G,True,80911403190,True,20,Sunday,April,High,Poor
347ce2de-2af3-411e-8558-ccb34bb636a2,CU000691,90523816770,TW0038,Voice,3935.0,866.68,-113.0,2024-05-23 10:18:39,False,491.0,4G,True,90523816770,True,10,Thursday,May,Medium,Poor
e0a92494-1398-4b5c-a199-98a6080dc7fb,CU000128,70862884000,UNKNOWN,Data,1234.0,3301.17,-117.0,2024-01-21 18:20:08,True,491.07,2G,True,70862884000,True,18,Sunday,January,Medium,Poor
59c2b822-ec4b-4e1e-b35c-ba30821e4fae,CU000544,80864810000,TW0005,Voice,5691.0,4584.08,-98.0,2024-04-02 14:00:51,True,416.57,5G,False,80864810000,True,14,Tuesday,April,Medium,Poor
2469fa91-eaa6-49c8-8d89-28bb25e7faf1,CU000869,90673843060,TW0020,Voice,3171.0,1989.07,-95.0,2024-01-20 02:09:29,False,897.57,3G,True,90673843060,True,2,Saturday,January,High,Poor
50ae584f-ffc1-4bdf-92d5-7b8f6798e005,CU001377,70578132370,UNKNOWN,Voice,0.0,3959.02,-43.0,2024-01-22 22:32:49,True,485.9,2G,True,70578132370,True,22,Monday,January,Medium,Excellent
b12cee9d-5393-4e4e-a38e-97bbe05b87f1,CU000113,81885000070,TW0027,Sms,2336.0,1130.44,-50.0,2024-05-28 01:20:04,False,34.99,4G,True,81885000070,True,1,Tuesday,May,Low,Excellent
4cfca9d3-72fb-414a-bd24-fa5354a09462,CU000742,81698384070,TW0028,Data,1446.0,240.33,-84.0,2024-05-24 21:11:39,False,364.47,4G,True,81698384070,True,21,Friday,May,Medium,Fair
c78dd3f5-43f1-4a05-940b-c70b5fb7aacc,CU001228,90298740540,TW0086,Data,4874.0,4938.82,-75.0,2024-02-12 02:25:18,False,349.22,3G,False,90298740540,True,2,Monday,February,Medium,Good
c4d40ec5-3a5b-4520-a1bc-b71f9726fec5,CU000751,81584082040,INVALID_TW9812,Data,1537.0,4687.16,-91.0,2024-04-23 21:57:24,True,837.48,4G,True,81584082040,True,21,Tuesday,April,High,Poor
b5742be1-8ac6-4bab-8703-9ca34584b768,CU001347,90314618980,TW0118,Sms,2975.0,3076.88,-55.0,2024-01-21 05:18:47,True,673.84,5G,True,90314618980,True,5,Sunday,January,High,Good
d85f0f81-bf17-48cf-9710-4259e4edda58,CU000895,90538186160,INVALID_TW9632,Voice,2117.0,1217.43,-64.0,2024-05-31 02:34:16,True,677.43,4G,True,90538186160,True,2,Friday,May,High,Good
566176d3-4bc1-4058-ad8f-2a467ce480d1,CU000340,08131529592,TW0083,Data,2924.0,2060.25,-94.0,2024-01-14 01:56:09,True,656.64,5G,True,08131529592,True,1,Sunday,January,Medium,Poor
0f0e0c76-69c2-4db5-8d03-01491f93d04b,CU000275,70878317470,TW0127,Sms,-3488.0,0.0,-47.0,2024-05-12 09:30:43,True,608.85,4G,True,70878317470,True,9,Sunday,May,Medium,Excellent
313ed8ad-2206-4c8a-9045-9f266d4a4855,CU001191,80989562940,TW0017,Voice,3087.0,2579.66,150.0,2024-03-12 02:23:26,True,136.1,3G,False,80989562940,False,2,Tuesday,March,Low,Excellent
d0b386af-a238-4a8e-82b6-7ec2515256ea,CU000954,80696809460,TW0016,Data,3431.0,1261.62,-75.0,2024-02-29 14:43:11,False,67.41,5G,False,80696809460,True,14,Thursday,February,Low,Good
5074de3c-65da-4d04-bc3a-64f063ce789c,CU000722,81563851890,TW0117,Sms,7058.0,4032.42,-111.0,2024-02-23 12:26:04,False,696.95,4G,True,81563851890,True,12,Friday,February,High,Poor
c4c21c6a-b16a-4e75-ac10-4cb1d53f46cf,CU000475,70151627620,TW0132,Sms,0.0,1482.26,-117.0,2024-02-12 22:34:24,True,584.0,4G,True,70151627620,True,22,Monday,February,Medium,Poor
d5ff9876-1329-47a1-8304-6449d4a5cbbc,CU000360,90970202740,TW0135,Data,1280.0,4203.49,-63.0,2024-01-10 14:05:50,True,209.61,3G,True,90970202740,True,14,Wednesday,January,Low,Good
3092ed72-f13b-4fff-840d-bd685d1c74b7,CU000601,90533116670,TW0098,Sms,3625.0,3744.86,-103.0,2024-04-19 23:15:09,True,505.82,5G,False,90533116670,True,23,Friday,April,Medium,Poor
503145d1-12f5-4169-a849-b2b53262a709,CU000015,80949836910,TW0113,Voice,5454.0,4119.4,-39.0,2024-03-29 14:31:41,True,55.93,4G,False,80949836910,True,14,Friday,March,Low,Excellent
4aaac815-c134-4e20-bf1c-fad775caefd6,CU000125,80150057000,TW0150,Voice,6356.0,3727.32,-104.0,2024-02-13 23:09:21,False,337.75,5G,True,80150057000,True,23,Tuesday,February,Medium,Poor
670d2d16-78c1-42f5-b78a-e021b8c69098,CU000542,80136663540,TW0072,Data,3532.0,1141.32,-98.0,2024-06-08 00:00:42,True,891.17,3G,False,80136663540,True,0,Saturday,June,High,Poor
66cc3178-41ec-4eb3-b598-1a9418987a9b,CU000508,80367889830,TW0037,Sms,4503.0,1602.34,-111.0,2024-01-10 10:25:29,True,129.3,3G,False,80367889830,True,10,Wednesday,January,Low,Poor
d528f872-3e66-44b4-831e-739ca5dab5f8,CU000653,90550506220,TW0118,Sms,2996.0,3300.25,-31.0,2024-05-28 00:57:21,False,896.55,3G,False,90550506220,True,0,Tuesday,May,High,Excellent
da990116-7233-4431-8af7-c1fce8bdd802,CU000616,90660532110,TW0022,Data,7170.0,4199.21,-49.0,2024-02-27 01:29:57,True,774.84,2G,False,90660532110,True,1,Tuesday,February,High,Excellent
edb8a5af-7002-4f23-b91f-cfb6859862d2,CU000496,80945121520,TW0093,Sms,750.0,3689.13,-84.0,2024-01-03 18:16:05,True,797.22,2G,True,80945121520,True,18,Wednesday,January,High,Fair
756912fa-95d3-4e7b-8b4a-57c97d1e294a,CU001171,81391714460,TW0043,Sms,4654.0,134.55,-59.0,2024-06-04 19:05:50,False,203.95,4G,False,81391714460,True,19,Tuesday,June,Low,Good
bff5fa8e-5064-47f8-9fc3-5e9c88645a1a,CU001455,77573364900,TW0068,Sms,562.0,3004.13,-65.0,2024-06-26 03:09:01,True,619.25,3G,False,77573364900,True,3,Wednesday,June,Medium,Good
e614cef0-3443-401c-b326-0e730ec4b674,CU000594,81892064030,UNKNOWN,Voice,2501.0,813.81,-43.0,2024-01-13 06:07:52,False,676.1,4G,True,81892064030,True,6,Saturday,January,High,Excellent
78f02496-05fb-4bc8-afc4-2f91b4220771,CU000804,90663050960,TW0056,Data,5956.0,1034.49,-101.0,2024-02-29 02:58:30,False,11.35,3G,False,90663050960,True,2,Thursday,February,Low,Poor
